What doesn't have a body, but has a head and a tail? (Cái gì không có thân, nhưng có đầu và đuôi?)|A coin
What can you never see but is constantly right in front of you? (Cái gì luôn luôn ở phía trước bạn nhưng không thể nhìn thấy được?)|The future
What is made up of only one letter and has an E at both the beginning and the end? (Từ gì chỉ gồm một chữ cái và có chữ E ở cả đầu và cuối?)|An envelope
I don't have lungs, but I need air, I don't have a mouth, but water kills me. I'm not living, but I grow. What am I? (Tôi không có phổi, nhưng tôi cần không khí, tôi không có miệng, nhưng nước có thể làm chết tôi. Tôi không sống, nhưng tôi lớn lên. Tôi là ai?)|Fire
What has a heart that doesn't beat? (Cái gì có trái tim mà không đập?)|An artichoke
What never moves but travels across cities and over hills? (Cái gì đi qua các thị trấn và qua đồi núi nhưng không bao giờ di chuyển?)|A road
What has a T in it, a T at the beginning and a T at the end? (Từ nào bắt đầu bằng T, kết thúc bằng T và có chứa chữ T?)|A teapot
What has two arms but no hands, a neck but no head? (Cái gì có hai cánh tay nhưng không có bàn tay, có cổ nhưng không có đầu?)|A shirt
What increases but never decreases? (Cái gì tăng mà không bao giờ giảm?)|Age
The more you take, the more you leave behind. What am I? (Càng lấy nhiều, càng để lại nhiều. Tôi là gì?)|Footsteps
The letter "T" resembles an island; why is that? (Chữ "T" giống như một hòn đảo; tại sao vậy?)|Because it is in the middle of water
I'm an odd number. I'm even if you take away a letter. What number am I? (Tôi là một số lẻ. Lấy đi một chữ cái và tôi trở thành số chẵn. Tôi là số mấy?)|Seven
What has four fingers and a thumb but is not alive? (Cái gì có bốn ngón tay và một ngón cái nhưng không sống?)|A glove
What is so fragile that saying its name breaks it? (Cái gì rất mong manh đến nỗi nói tên nó cũng làm nó vỡ tan?)|Silence
I have cities but no homes. I don't have any trees, only mountains. There is water here, but no fish. So what am I? (Tôi có thành phố nhưng không có nhà. Tôi không có cây, chỉ có núi. Ở đây có nước, nhưng không có cá. Vậy tôi là gì?)|A map
